Acura,Integra,Passenger,16.919,16.36,21.5,1.8,140,101.2,67.3,172.4,2.639,13.2,58.28014952
Acura,TL,Passenger,39.384,19.875,28.4,3.2,225,108.1,70.3,192.9,3.517,17.2,91.37077766
Acura,CL,Passenger,14.114,18.225,0,3.2,225,106.9,70.6,192,3.47,17.2,0
Acura,RL,Passenger,8.588,29.725,42,3.5,210,114.6,71.4,196.6,3.85,18,91.38977933
Audi,A4,Passenger,20.397,22.255,23.99,1.8,150,102.6,68.2,178,2.998,16.4,62.7776392
Audi,A6,Passenger,18.78,23.555,33.95,2.8,200,108.7,76.1,192,3.561,18.5,84.56510502
Audi,A8,Passenger,1.38,39,62,4.2,310,113,74,198.2,3.902,23.7,134.6568582
BMW,323i,Passenger,19.747,0,26.99,2.5,170,107.3,68.4,176,3.179,16.6,71.19120671
BMW,328i,Passenger,9.231,28.675,33.4,2.8,193,107.3,68.5,176,3.197,16.6,81.87706856
BMW,528i,Passenger,17.527,36.125,38.9,2.8,193,111.4,70.9,188,3.472,18.5,83.9987238
Buick,Century,Passenger,91.561,12.475,21.975,3.1,175,109,72.7,194.6,3.368,17.5,71.18145132
Buick,Regal,Passenger,39.35,13.74,25.3,3.8,240,109,72.7,196.2,3.543,17.5,95.63670253
Buick,Park Avenue,Passenger,27.851,20.19,31.965,3.8,205,113.8,74.7,206.8,3.778,18.5,85.82840825
Buick,LeSabre,Passenger,83.257,13.36,27.885,3.8,205,112.2,73.5,200,3.591,17.5,84.25452581
Cadillac,DeVille,Passenger,63.729,22.525,39.895,4.6,275,115.3,74.5,207.2,3.978,18.5,113.8545976
Cadillac,Seville,Passenger,15.943,27.1,44.475,4.6,275,112.2,75,201,0,18.5,115.6213578
Cadillac,Eldorado,Passenger,6.536,25.725,39.665,4.6,275,108,75.5,200.6,3.843,19,113.7658739
Cadillac,Catera,Passenger,11.185,18.225,31.01,3,200,107.4,70.3,194.8,3.77,18,83.48309358
Cadillac,Escalade,Car,14.785,0,46.225,5.7,255,117.5,77,201.2,5.572,30,109.5091165
Chevrolet,Cavalier,Passenger,145.519,9.25,13.26,2.2,115,104.1,67.9,180.9,2.676,14.3,46.36334747
Chevrolet,Malibu,Passenger,135.126,11.225,16.535,3.1,170,107,69.4,190.4,3.051,15,67.31446216
Chevrolet,Lumina,Passenger,24.629,10.31,18.89,3.1,175,107.5,72.5,200.9,3.33,16.6,69.9913956
Chevrolet,Monte Carlo,Passenger,42.593,11.525,19.39,3.4,180,110.5,72.7,197.9,3.34,17,72.03091719
Chevrolet,Camaro,Passenger,26.402,13.025,24.34,3.8,200,101.1,74.1,193.2,3.5,16.8,81.11854333
Chevrolet,Corvette,Passenger,17.947,36.225,45.705,5.7,345,104.5,73.6,179.7,3.21,19.1,141.14115
Chevrolet,Prizm,Passenger,32.299,9.125,13.96,1.8,120,97.1,66.7,174.3,2.398,13.2,48.2976361
Chevrolet,Metro,Passenger,21.855,5.16,9.235,1,55,93.1,62.6,149.4,1.895,10.3,23.27627233
Chevrolet,Impala,Passenger,107.995,0,18.89,3.4,180,110.5,73,200,3.389,17,71.83803944
Chrysler,Sebring Coupe,Passenger,7.854,12.36,19.84,2.5,163,103.7,69.7,190.9,2.967,15.9,65.95718396
Chrysler,Sebring Conv.,Passenger,32.775,14.18,24.495,2.5,168,106,69.2,193,3.332,16,69.52135505
Chrysler,Concorde,Passenger,31.148,13.725,22.245,2.7,200,113,74.4,209.1,3.452,17,80.02378204
Chrysler,Cirrus,Passenger,32.306,12.64,16.48,2,132,108,71,186,2.911,16,53.56619987
Chrysler,LHS,Passenger,13.462,17.325,28.34,3.5,253,113,74.4,207.7,3.564,17,101.3292807
Chrysler,Town & Country,Car,53.48,19.54,0,0,0,0,0,0,0,0,0
Chrysler,300M,Passenger,30.696,0,29.185,3.5,253,113,74.4,197.8,3.567,17,101.6552441
Dodge,Neon,Passenger,76.034,7.75,12.64,2,132,105,74.4,174.4,2.567,12.5,52.08489875
Dodge,Avenger,Passenger,4.734,12.545,19.045,2.5,163,103.7,69.1,190.2,2.879,15.9,65.65050834
Dodge,Stratus,Passenger,71.186,10.185,20.23,2.5,168,108,71,186,3.058,16,67.87610784
Dodge,Intrepid,Passenger,88.028,12.275,22.505,2.7,202,113,74.7,203.7,3.489,17,80.83147017
Dodge,Viper,Passenger,0.916,58.47,69.725,8,450,96.2,75.7,176.7,3.375,19,188.144323
Dodge,Ram Pickup,Car,227.061,15.06,19.46,5.2,230,138.7,79.3,224.2,4.47,26,90.21170005
Dodge,Ram Wagon,Car,16.767,15.51,21.315,3.9,175,109.6,78.8,192.6,4.245,32,71.13529161
Dodge,Ram Van,Car,31.038,13.425,18.575,3.9,175,127.2,78.8,208.5,4.298,32,70.07832154
Dodge,Dakota,Car,111.313,11.26,16.98,2.5,120,131,71.5,215,3.557,22,49.64500177
Dodge,Durango,Car,101.323,0,26.31,5.2,230,115.7,71.7,193.5,4.394,25,92.85412522
Dodge,Caravan,Car,181.749,12.025,19.565,2.4,150,113.3,76.8,186.3,3.533,20,61.22700031
